# ASV,MG_A0,MG_A1,MG_A2,MG_A3,MG_B0,MG_B1,MG_B2,MG_B3,MG_C0,MG_C1,MG_C2,MG_C3,MG_Ct_qPCR_pos_zymo,MG_E0,MG_E1,MG_E2,MG_E3,MG_F0,MG_F1,MG_F2,MG_F3,MG_G0,MG_G1,MG_G2,MG_G3,MG_I0,MG_I1,MG_I2,MG_I3,MG_J0,MG_J1,MG_J2,MG_J3,MG_K0,MG_K1,MG_K2,MG_K3,MG_L0,MG_L1,MG_L2,MG_L3,MG_M0,MG_M1,MG_M2,MG_M3,MG_N0,MG_N1,MG_N2,MG_N3,MG_O0,MG_O1,MG_O2,MG_O3,MG_P0,MG_P1,MG_P2,MG_P3,MG_Q0,MG_Q1,MG_Q2,MG_Q3,MG_R0,MG_R1,MG_R2,MG_R3,MG_S0,MG_S1,MG_S2,MG_S3,MG_T0,MG_T1,MG_T2,MG_T3
5147050d38a2d76986dbeefc6139500e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
4d59dcbbbef36a9ff77c80e0d0061669,0,0,0,43,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
74e3096e572182e33b3cf6ce14a89275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ad1c029246800252e75c95cb77b1fbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a028f983c1ef55de468ce1c7a25e130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267b09a9a92d5b8e56dc3c50be6bc8aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41e3f3c8c53807bc4a7ce369b2e289ce,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f3a175e8414af4e274f40f40229296d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a232e1533c79be9758d82e2c3d2a0e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a7f0c2f40b3062be0f052523276e391,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,39,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,19,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09e81404b55faa5aa40d362a6e73cd40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271b8908a347414cc7f67c0034886b43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b6a2521d7c35448891a05adf77c1ec4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f92a6dc54c561fcd72b65836f925fc8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c5328b1c78e4ebd3dd9fbd0312e03600,8,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,6,22,0,33,21,70,3,0,0,12,0,0,0,7,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,20,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
02d2eaef74f0d41e244b8af579c752d7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
