tax	50w_0	50w_1	50w_2	50w_3	90w_0	90w_1	90w_2	90w_3	120w_0	120w_1	120w_2	120w_3
Obscuribacteraceae	0	0	0.002750932	0.001996928	0	0	0.002109705	0.004295985	0	0.003333333	0.003818899	0.000308756
Opitutaceae	0	0.006281654	0	0.003710998	0.00041624	0.002822345	0.003361805	0	0	0.003606849	0	0.000370508
Oxalobacteraceae	0.027252058	0.009719839	0.020666004	0.025152917	0.058722951	0.003365246	0.010625211	0.013652228	0.00747204	0.004968581	0.012871793	0.006785994
Paenibacillaceae	0.005089406	0.007091308	0.008954326	0.018852246	0.002696506	0.003117221	0.022624736	0.005614606	0.008711567	0.00868461	0.028018803	0.009855844
Parachlamydiaceae	0.000250125	0.00261213	0.00193115	0.002650402	0	0	0.001512984	0.00022517	0	0	0	0
Pedosphaeraceae	0.001009364	0.003153598	0.002072823	0.001725415	0	0.002457662	0.004984828	0.001267427	0.000165975	0.003000985	0.003850896	0.005886182
Peptostreptococcaceae	0.00050564	0.003375647	0.004088786	0.010080938	0.000130066	0.00255695	0.002980826	0.009977267	0	0	0.006992949	0.003051643
Phycisphaeraceae	0	0	0	0.001178992	0	0.004647995	0.001715906	0.001942618	0	0.00268745	0.005637372	0.004460094
Pirellulaceae	0.000388954	0.00203252	0.00660905	0.014429735	0	0.018353139	0.007412428	0.001595996	0.00033195	0.005688366	0.001587872	0.004016384
Planococcaceae	0.000130399	0.001056524	0.000642792	1.95E-05	0.000189873	0.001867138	0.002623103	0	0	0	0.00209719	0.007674376
Propionibacteriaceae	0.001450047	0.000403691	0.000852515	0	0.001087359	0.005605322	0	0.005260389	0.00018457	0	0.001914651	0.000648388
Pseudomonadaceae	0.133571971	0.049686878	0.011664202	0.101722109	0.073492826	0.041727797	0.036083927	0.089329488	0.119396682	0.020753575	0.004868621	0.010186307
Pseudonocardiaceae	0.007450668	0.035104867	0.007598676	0.003872719	0.004479234	0.005336179	0.012067856	0.004484257	0.005175633	0.00794805	0.015687258	0.008441878
Rhizobiaceae	0.04274758	0.010966582	0.010615058	0.006726438	0.021863468	0.028956386	0.01041945	0.009876048	0.022638264	0.00869137	0.008710918	0.006258738
Rhizobiales_Incertae_Sedis	0	0.002796313	0.001002441	0.000175398	0	0.002456761	0	0.00016376	0.00055371	0	0.001198394	0.006419352
Rhodanobacteraceae	0.00439896	0.008735287	0.009897116	0.0065382	0.011432282	0.010454334	0.010657772	0.001418627	0.008748124	0.008353104	0.00361371	0.003105406
Rhodobacteraceae	0.001112966	0.00446809	0.003319766	0.005013312	0.000754501	0.005505063	0.004501902	0.005574685	0	0.002618392	0.013637967	0.002468369
Rhodocyclaceae	0	0.000431141	0	0	0.001456967	0.000379305	0.003942713	0.006750833	0	0.002911404	0.002356009	0.003837465
