"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"Alicycliphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433034333436437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillus",0,0,0.00865384615384615,0,0,0,0,0.00302818541812252,0.00161117078410311,0,0,0.00614494849087294,0,0,0,0,0.00200710205341979,0.00364630811303555,0,0.0255436658612358,0,0,0,0,0,0.00306412781790326,0,0.00538748445917945,0.00447494033412888,0,0,0.00467562828755114,0,0,0,0,0.0135690789473684,0.000923702198411232,0,0,0,0,0,0,0.00518341307814992,0.00356652949245542,0,0,0.00404560500183891,0,0,0.00496277915632754,0.000965561635017702,0,0,0.0486971379752243,0.0263681592039801,0,0,0.0242248062015504,0,0,0,0.0207715133531157,0,0,0,0,0.00611246943765281,0,0.00564573041637262,0.040983606557377,0.00304878048780488
"Aliihoeflea",0,0,0,0,0,0,0.00325358851674641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754084625052367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alishewanella",0,0,0,0,0,0,0,0,0,0,0.00416782439566546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328162291169451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00420984455958549,0.0157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233918128654971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alkanibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478468899521531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alkanindiges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114525139664804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allohumibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176151761517615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0498622851172951,0,0.00913461538461539,0.00591715976331361,0.0625155048375093,0.0506416131989001,0.0237320574162679,0.00128115536920568,0.00698174006444683,0,0.00333425951653237,0,0,0.0161866722724406,0.00841584158415842,0.0102941176470588,0.00385981164119191,0.00486174415071407,0,0,0.00856117094725214,0.065805988882912,0.00503524672708963,0.0111459421804249,0,0.0555920332676735,0.0177279305354559,0.00953170327393286,0,0.00894308943089431,0.0150295222758991,0.00214299629846094,0,0.0236194820003258,0,0.011336717428088,0,0.0594864215776834,0.00879765395894428,0.0142458100558659,0,0.0145340125861552,0,0,0.00757575757575758,0.00342935528120713,0,0,0.0165502022802501,0.003662109375,0,0.00173697270471464,0,0.00762250453720508,0.0543859649122807,0,0,0.0236593059936909,0.0044987146529563,0,0,0,0,0,0,0,0,0,0,0.051948051948052,0.0112914608327452,0,0.00685975609756098
"alphaI_cluster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607718018839259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169573643410853,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alsobacter",0,0,0.00552884615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Altererythrobacter",0,0,0,0,0.000868270900520963,0,0,0,0,0,0,0,0,0,0.00445544554455446,0,0,0,0,0.00448740075940628,0,0,0,0,0,0,0.0065123010130246,0,0,0,0.00912506709608159,0.00292226767971946,0,0,0,0.00693739424703892,0,0,0,0,0,0,0,0,0,0,0,0,0.00662008091210004,0,0,0.00496277915632754,0,0,0,0.00897052541648868,0,0,0,0,0,0,0,0,0.0128983308042489,0,0,0,0,0,0,0,0
